06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:05:10.658 11275-11848/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 40002,193,204,71,61,61,71,0,3,61,69,0,0,108159,117494,11,0
06-26 16:05:20.569 11275-11804/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 50001,269,260,84,92,92,84,1,2,92,82,0,0,157662,145184,11,0
06-26 16:05:20.579 11275-11807/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 50001,268,262,89,89,89,89,1,1,89,83,0,0,154449,150018,11,0
06-26 16:05:20.587 11275-11814/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 50000,261,255,84,88,88,84,1,1,88,82,0,0,149719,146533,11,0
06-26 16:05:20.594 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 50000,254,257,85,84,84,84,1,0,84,89,0,0,142585,147294,11,0
06-26 16:05:20.606 11275-11824/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 50001,270,268,83,90,90,83,7,1,90,94,0,0,152985,147547,11,0
06-26 16:05:20.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 50000,250,264,86,82,82,86,0,1,82,95,0,0,140300,151243,11,0
06-26 16:05:20.636 11275-11834/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 50000,260,248,90,85,85,90,0,3,85,70,0,0,148291,147952,11,0
06-26 16:05:20.646 11275-11839/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 50001,256,256,88,84,84,88,0,1,84,83,0,0,146486,148158,11,0
06-26 16:05:20.651 11275-11842/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 50001,259,257,91,84,84,91,0,2,84,80,0,0,147435,150816,11,0
06-26 16:05:20.658 11275-11850/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 50001,251,260,91,80,80,91,0,3,80,86,0,0,141884,151980,11,0
06-26 16:05:30.569 11275-11804/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 60001,329,319,104,112,112,104,1,2,112,101,0,0,193016,180180,11,0
06-26 16:05:30.580 11275-11807/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 60001,328,325,109,109,109,109,1,1,109,106,0,0,189835,185984,11,0
06-26 16:05:30.586 11275-11814/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 60000,317,318,104,106,106,104,1,1,106,107,0,0,181803,182739,11,0
06-26 16:05:30.595 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 60000,318,318,105,106,106,104,1,0,106,108,0,0,181235,182589,11,0
06-26 16:05:30.606 11275-11892/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 60001,332,333,103,111,111,103,7,1,111,118,0,0,190034,183921,11,0
06-26 16:05:30.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 60000,306,321,106,100,100,106,0,1,100,114,0,0,172412,186085,11,0
06-26 16:05:30.635 11275-11834/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 60000,324,309,110,107,107,110,0,3,107,89,0,0,186989,183211,11,0
06-26 16:05:30.645 11275-11895/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 60000,314,311,108,103,103,108,0,1,103,99,0,0,180217,182354,11,0
06-26 16:05:30.651 11275-11896/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 60001,319,322,111,104,104,111,0,2,104,105,0,0,182821,187283,11,0
06-26 16:05:30.657 11275-11898/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 60001,305,313,111,97,97,111,0,3,97,102,0,0,172303,185929,11,0
06-26 16:05:40.570 11275-11802/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 70001,381,376,124,128,128,124,1,2,128,122,0,0,221822,215246,11,0
06-26 16:05:40.581 11275-11809/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 70001,386,382,129,128,128,129,1,1,128,124,0,0,223546,220664,11,0
