06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:32.474 30478-30910/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 20000,78,51,31,20,20,14,7,7,20,10,0,0,31595,23539,13,0
06-27 13:26:32.482 30478-30915/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 20001,31,5,31,0,0,3,0,0,0,2,0,0,3534,7227,2,25
06-27 13:26:32.488 30478-30920/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 20001,45,29,31,4,4,11,6,4,4,10,0,0,8912,12788,13,5
06-27 13:26:32.498 30478-30925/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 20001,137,91,29,47,47,17,14,4,47,23,0,0,70464,36641,11,0
06-27 13:26:32.518 30478-30940/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_17: 20001,31,5,31,0,0,4,0,1,0,0,0,0,3534,7357,4,22
06-27 13:26:32.518 30478-30935/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_16: 20000,40,19,31,4,4,10,1,3,4,2,0,0,6443,9217,12,8
06-27 13:26:32.519 30478-30930/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 20003,124,79,29,41,41,16,13,2,41,20,0,0,61591,32731,11,0
06-27 13:26:32.521 30478-30945/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_18: 20000,63,39,31,14,14,13,4,5,14,7,0,0,23040,17672,13,4
06-27 13:26:32.529 30478-30950/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_19: 20003,45,30,31,6,6,11,2,5,6,8,0,0,9550,14506,15,4
06-27 13:26:32.533 30478-30955/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_20: 20001,37,12,31,3,3,7,0,1,3,1,0,0,5822,9710,6,19
06-27 13:26:32.546 30478-30960/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_21: 20001,66,37,31,16,16,12,3,6,16,3,0,0,27446,17159,14,2
06-27 13:26:32.559 30478-30965/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_22: 20001,39,13,31,4,4,5,0,1,4,3,0,0,6409,8911,6,17
06-27 13:26:32.573 30478-30970/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_23: 20001,35,18,31,2,2,10,0,5,2,1,0,0,4908,10074,14,10
06-27 13:26:32.577 30478-30975/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_24: 20000,32,10,31,0,0,8,1,1,0,1,0,0,3668,9550,7,17
06-27 13:26:42.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 30001,126,71,47,32,32,14,15,1,32,24,0,0,54242,28724,13,3
06-27 13:26:42.369 30478-30858/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 30003,119,76,40,33,33,20,13,5,33,18,0,0,49044,36329,12,0
06-27 13:26:42.383 30478-30863/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 30001,98,63,51,21,21,23,5,10,21,9,0,0,39256,40360,14,0
06-27 13:26:42.396 30478-30868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 30002,44,25,31,6,6,11,1,2,6,6,0,0,7577,12188,13,4
06-27 13:26:42.410 30478-30873/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 30001,68,31,51,8,8,12,1,7,8,4,0,0,18756,14892,15,0
06-27 13:26:42.419 30478-30878/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 30000,104,54,51,24,24,17,5,5,24,8,0,0,39330,30262,14,0
06-27 13:26:42.428 30478-30883/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 30001,215,147,43,70,70,24,32,1,70,52,0,0,101964,58008,9,0
