06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:11:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 420000,2450,2427,825,812,812,813,1,0,812,802,0,0,1431239,1429235,11,0
06-26 16:11:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 430000,2510,2485,845,832,832,830,1,0,832,823,0,0,1466621,1460487,11,0
06-26 16:11:50.596 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 440002,2566,2536,865,850,850,848,1,0,850,838,0,0,1498729,1491499,11,0
06-26 16:12:00.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 450000,2612,2577,885,863,863,865,1,0,863,849,0,0,1522462,1519573,11,0
06-26 16:12:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 460000,2662,2633,895,883,883,881,1,0,883,869,0,0,1556708,1549197,11,0
06-26 16:12:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 470000,2722,2687,915,903,903,896,1,0,903,888,0,0,1592096,1577176,11,0
06-26 16:12:30.608 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 480014,2772,2729,935,918,918,910,1,0,918,901,0,0,1619147,1601727,11,0
06-26 16:12:40.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 490001,2828,2775,955,936,936,927,1,0,936,912,0,0,1651169,1630364,11,0
06-26 16:12:50.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 500000,2884,2823,975,954,954,943,1,0,954,926,0,0,1683241,1658352,11,0
06-26 16:13:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 510000,2946,2872,995,975,975,958,1,0,975,939,0,0,1720280,1684994,11,0
06-26 16:13:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 520000,2988,2910,1015,986,986,974,1,0,986,950,0,0,1740735,1711514,11,0
06-26 16:13:20.596 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 530001,3048,2961,1035,1006,1006,991,1,0,1006,964,0,0,1776055,1741138,11,0
06-26 16:13:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 540000,3104,3001,1055,1024,1024,1005,1,0,1024,972,0,0,1808165,1764855,11,0
06-26 16:13:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 550000,3164,3053,1075,1044,1044,1021,1,0,1044,988,0,0,1843541,1793475,11,0
06-26 16:13:50.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 560001,3226,3102,1095,1065,1065,1037,1,0,1065,1000,0,0,1880558,1821309,11,0
06-26 16:14:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 570000,3266,3144,1115,1075,1075,1053,1,0,1075,1016,0,0,1899364,1848838,11,0
06-26 16:14:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 580000,3322,3190,1135,1093,1093,1067,1,0,1093,1030,0,0,1931418,1873928,11,0
06-26 16:14:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 590000,3384,3239,1155,1114,1114,1080,1,0,1114,1045,0,0,1968441,1898278,11,0
06-26 16:14:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 600000,3420,3273,1175,1122,1122,1095,1,0,1122,1056,0,0,1983915,1922986,11,0
06-26 16:14:40.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 610000,3478,3317,1195,1141,1141,1109,1,0,1141,1067,0,0,2017652,1947418,11,0
06-26 16:14:50.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 620000,3528,3363,1215,1156,1156,1122,1,0,1156,1085,0,0,2044705,1971795,11,0
06-26 16:15:00.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 630000,3590,3414,1235,1177,1177,1136,1,0,1177,1101,0,0,2081768,1997751,11,0
06-26 16:15:10.631 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 640037,3640,3465,1255,1192,1192,1152,1,0,1192,1121,0,0,2108825,2026820,11,0
06-26 16:15:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 650000,3686,3506,1275,1205,1205,1167,1,0,1205,1134,0,0,2132578,2052554,11,0
06-26 16:15:30.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 660001,3740,3550,1295,1222,1222,1181,1,0,1222,1147,0,0,2162937,2077309,11,0
06-26 16:15:40.597 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 670003,3790,3591,1315,1237,1237,1194,1,0,1237,1160,0,0,2190024,2100411,11,0
06-26 16:15:50.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 680000,3846,3634,1335,1255,1255,1207,1,0,1255,1172,0,0,2222014,2123666,11,0
06-26 16:16:00.596 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 690002,3884,3668,1355,1264,1264,1221,1,0,1264,1183,0,0,2239165,2147123,11,0
06-26 16:16:10.602 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 700008,3920,3705,1365,1277,1277,1233,1,0,1277,1195,0,0,2261814,2168409,11,0
06-26 16:16:20.598 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 710004,3974,3750,1385,1294,1294,1247,1,0,1294,1209,0,0,2292163,2193465,11,0
06-26 16:16:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 720000,4034,3799,1405,1314,1314,1264,1,0,1314,1221,0,0,2327531,2222544,11,0
06-26 16:16:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 730000,4090,3843,1425,1332,1332,1277,1,0,1332,1234,0,0,2359555,2245994,11,0
